NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Delgado Arce, Celso Luis",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Ourense,M,,,,,,,x,,,,,
"Díez González, Rosa María",2813.87,,,,2667.5,1046.48,870.56,7398.41,103577.74,Madrid,F,x,,,,x,,,,,x,,
"Duran i Lleida, Josep Antoni",2813.87,,,,2667.5,1431.31,1823.86,8736.54,122311.56,Barcelona,M,,,,,x,,x,,,,,
"Durán Ramos, Eva",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Echávarri Fernández, Gabriel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,M,,,,,,,,x,x,,,
"Elorriaga Pisarik, Gabriel",2813.87,,,,,1431.31,870.56,5115.74,71620.36,Madrid,M,x,,,,,,x,,,,,
"Elorza González, Odón",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,M,,,,,,,,x,,,,
"Enbeita Maguregi, Onintza",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,F,,,,,,,,,,x,x,
"Errekondo Saltsamendi, Xabier Mikel",2813.87,,,,2087.07,1046.48,1823.86,7771.28,108797.92,Bizkaia,M,,,,,,x,,,,x,,Portavoz Sustituto de la Junta de Portavoces 
"Escobar Las Heras, Conrado",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,La Rioja,M,,,,,,,,,,x,,
"Escudero Berzal, Beatriz Marta",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Segovia,F,,,,,,,,,,,x,
"España Reina, Carolina",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,F,,,,,,,,,,x,,
"Esteban Bravo, Aitor",2813.87,,,,2667.5,1046.48,1823.86,8351.71,116923.94,Bizkaia,M,,,,,x,,,,,x,,
"Esteller Ruedas, Mª Ángeles",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,x,,,,
"Esteve Ortega, Esperança",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,,
"Fabra Fernández, Andrea",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Castellón,F,,,,,,,,,,x,,
"Fajarnés Ribas, Enrique",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Illes Balears,M,,,,,,,,,,x,,
"Falcón Dacal, Maravillas Concepción",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Albacete,F,,,,,,,,x,,,,
"Fernández-Ahuja García, María de los Ángeles",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Asturias,F,,,,,,,,,x,,,
"Fernández Álvarez, Alejandro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Tarragona,M,,,,,,,,,,x,,
"Fernández Davila, Mª Olaia",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Pontevedra,F,,,,,,,,,,x,x,
"Fernández García, Eduardo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,León,M,,,,,,,,x,,,,
"Fernández Moya, Gracia",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Almería,F,,,,,,,,,x,,x,
"Ferrando Sendra, Amparo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,x,,,,
"Ferrer Roselló, Vicente",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,
"Figueres Górriz, María Ascensión",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Castellón,F,,,,,,,,,,,x,
"Flores Lanuza, Mario Francisco José",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,M,,,,,,,,x,,,,
"Floriano Corrales, Carlos Javier",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cáceres,M,,,,,,,,x,,,,
"Franquis Vera, Sebastián",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,M,,,,,,,,,,x,,
"Fumero Roque, Águeda",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,F,,,,,,,,,x,,,
"Gallego Arriola, María del Puerto",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cantabria,F,,,,,,,,,x,x,,
"Gallego Burgos, Antonio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"García Álvarez, María Caridad",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,x,
"García Díez, Joaquín María",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Lugo,M,,,,,,,,,,x,,
"García Egea, Teodoro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,M,,,,,,,,,,x,,
"García Gasulla, Guillem",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Illes Balears,M,,,,,,,,,x,,,
